,busNumber,busroute,company,date,fromBusstopPole,lat,long,toBusstopPole
0,786,Neri42,SeibuBus,2019-09-05T08:26:14+09:00,Nerimaekimae.20055.0,35.738346,139.653672,Nerimaekikitaguchi.20056.0
1,786,Neri42,SeibuBus,2019-09-05T08:26:39+09:00,Nerimaekimae.20055.0,35.738451,139.65388000000002,Nerimaekikitaguchi.20056.0
2,786,Neri42,SeibuBus,2019-09-05T08:27:29+09:00,Nerimaekimae.20055.0,35.738416,139.65391499999998,Nerimaekikitaguchi.20056.0
3,786,Neri42,SeibuBus,2019-09-05T08:27:54+09:00,Nerimaekimae.20055.0,35.738416,139.65391499999998,Nerimaekikitaguchi.20056.0
4,786,Neri42,SeibuBus,2019-09-05T08:28:19+09:00,Nerimaekimae.20055.0,35.738485,139.654002,Nerimaekikitaguchi.20056.0
5,786,Neri42,SeibuBus,2019-09-05T08:28:44+09:00,Nerimaekimae.20055.0,35.73852,139.654054,Nerimaekikitaguchi.20056.0
6,786,Neri42,SeibuBus,2019-09-05T08:30:00+09:00,Nerimaekimae.20055.0,35.738416,139.65391499999998,Nerimaekikitaguchi.20056.0
7,786,Neri42,SeibuBus,2019-09-05T08:30:25+09:00,Nerimaekimae.20055.0,35.738381,139.653776,Nerimaekikitaguchi.20056.0
8,786,Neri42,SeibuBus,2019-09-05T08:30:50+09:00,Nerimaekimae.20055.0,35.738381,139.653759,Nerimaekikitaguchi.20056.0
9,786,Neri42,SeibuBus,2019-09-05T08:31:15+09:00,Nerimaekimae.20055.0,35.73836400000001,139.653724,Nerimaekikitaguchi.20056.0
10,786,Neri42,SeibuBus,2019-09-05T08:31:40+09:00,Nerimaekimae.20055.0,35.73836400000001,139.653724,Nerimaekikitaguchi.20056.0
11,786,Neri42,SeibuBus,2019-09-05T08:32:30+09:00,Nerimaekimae.20055.0,35.738433,139.653932,Nerimaekikitaguchi.20056.0
12,786,Neri42,SeibuBus,2019-09-05T08:32:42+09:00,None,35.738468,139.653932,Nerimaekikitaguchi.20056.2
13,786,Neri42,SeibuBus,2019-09-05T08:33:27+09:00,None,35.73826,139.653776,Nerimaekikitaguchi.20056.2
14,786,Neri42,SeibuBus,2019-09-05T08:34:17+09:00,None,35.738225,139.653967,Nerimaekikitaguchi.20056.2
15,786,Neri42,SeibuBus,2019-09-05T08:34:42+09:00,None,35.738242,139.65395,Nerimaekikitaguchi.20056.2
16,786,Neri42,SeibuBus,2019-09-05T08:35:25+09:00,Nerimaekikitaguchi.20056.2,35.7384862555385,139.65455708598324,Nerimaekimaedoori.20057.1
17,786,Neri42,SeibuBus,2019-09-05T08:35:50+09:00,Nerimaekikitaguchi.20056.2,35.737415102383046,139.65479312037655,Nerimaekimaedoori.20057.1
18,786,Neri42,SeibuBus,2019-09-05T08:36:26+09:00,Nerimaekikitaguchi.20056.2,35.73716599999999,139.653307,Nerimaekimaedoori.20057.1
19,786,Neri42,SeibuBus,2019-09-05T08:37:00+09:00,Nerimaekimaedoori.20057.1,35.73701796067311,139.65172189814757,Nerimakuyakushoiriguchi.20059.1
20,786,Neri42,SeibuBus,2019-09-05T08:37:25+09:00,Nerimakuyakushoiriguchi.20059.1,35.737079,139.65115500000002,Kouyamachou.20060.1
21,786,Neri42,SeibuBus,2019-09-05T08:37:50+09:00,Nerimakuyakushoiriguchi.20059.1,35.736896369943935,139.65007125396733,Kouyamachou.20060.1
22,786,Neri42,SeibuBus,2019-09-05T08:38:40+09:00,Nerimakuyakushoiriguchi.20059.1,35.73742599340332,139.64754939552313,Kouyamachou.20060.1
23,786,Neri42,SeibuBus,2019-09-05T08:39:25+09:00,Kouyamachou.20060.1,35.73746534561102,139.64526146430967,Nakamurabashiekiiriguchi.20061.1
24,786,Neri42,SeibuBus,2019-09-05T08:40:03+09:00,Kouyamachou.20060.1,35.739492,139.639748,Nakamurabashiekiiriguchi.20061.1
25,786,Neri42,SeibuBus,2019-09-05T08:40:28+09:00,Kouyamachou.20060.1,35.739596,139.639592,Nakamurabashiekiiriguchi.20061.1
26,786,Neri42,SeibuBus,2019-09-05T08:40:53+09:00,Kouyamachou.20060.1,35.739891,139.63875900000002,Nakamurabashiekiiriguchi.20061.1
27,786,Neri42,SeibuBus,2019-09-05T08:41:18+09:00,Kouyamachou.20060.1,35.73992600000001,139.63874099999998,Nakamurabashiekiiriguchi.20061.1
28,786,Neri42,SeibuBus,2019-09-05T08:41:43+09:00,Kouyamachou.20060.1,35.74003,139.638429,Nakamurabashiekiiriguchi.20061.1
29,786,Neri42,SeibuBus,2019-09-05T08:42:59+09:00,Kouyamachou.20060.1,35.740239,139.637821,Nakamurabashiekiiriguchi.20061.1
30,786,Neri42,SeibuBus,2019-09-05T08:43:24+09:00,Kouyamachou.20060.1,35.740308,139.637682,Nakamurabashiekiiriguchi.20061.1
31,786,Neri42,SeibuBus,2019-09-05T08:44:00+09:00,Nakamurabashiekiiriguchi.20061.1,35.741037,139.637196,Nerimachuugakkou.20062.1
32,786,Neri42,SeibuBus,2019-09-05T08:44:31+09:00,Nakamurabashiekiiriguchi.20061.1,35.74289500000001,139.63572,Nerimachuugakkou.20062.1
33,786,Neri42,SeibuBus,2019-09-05T08:45:00+09:00,Nakamurabashiekiiriguchi.20061.1,35.743885,139.634939,Nerimachuugakkou.20062.1
